A¥O;MES;Delitos de mayor connotaci¢n social;Homicidios;Hurtos;Lesiones leves;Lesiones menos graves, graves o grav¡simas;Otros robos con fuerza;Robo con violencia o intimidaci¢n;Robo de objetos de o desde veh¡culo;Robo de veh¡culo motorizado;Robo en lugar habitado;Robo en lugar no habitado;Robo por sorpresa;Violaciones;Infracci¢n a ley de armas;Abandono de armas;Hallazgo de armas o explosivos;Otros ley de armas;Porte de armas;Tenencia ilegal de armas o explosivos;Incivilidades;Amenazas;Comercio ambulante o clandestino;Consumo alcohol v¡a p£blica;Da¤os;Des¢rdenes;Ebriedad;Otras incivilidades;Ri¤a p£blica;Ruidos molestos;Abigeato;Abusos sexuales y otros delitos sexuales;Violencia intrafamiliar;Violencia intrafamiliar a adulto mayor;Violencia intrafamiliar a hombre;Violencia intrafamiliar a mujer;Violencia intrafamiliar a ni¤o;Violencia intrafamiliar no clasificado;Receptaci¢n;Robo frustrado
2010;1;40.515;28;9.142;6.723;1.690;497;4.114;4.526;2.270;5.752;3.208;2.316;249;90;3;32;32;13;10;37.472;10.382;525;6.078;9.581;30;7.210;2.560;7;1.099;416;657;10.727;136;1.422;8.618;468;83;24;584
2010;2;35.654;19;8.083;5.433;1.404;480;3.568;3.995;2.210;5.220;2.988;2.034;220;101;1;28;51;14;7;32.280;8.503;579;5.496;8.185;19;6.380;2.238;8;872;411;593;8.706;116;1.131;7.020;373;66;33;443
2010;3;36.699;18;7.783;6.527;1.441;564;3.447;4.092;2.375;4.695;3.689;1.860;208;92;5;40;36;7;4;35.268;9.789;327;5.899;9.414;28;6.581;2.263;5;962;369;716;9.518;140;1.283;7.552;482;61;47;493
2010;4;36.708;15;8.432;6.248;1.308;601;3.587;4.172;2.480;4.740;2.982;1.918;225;284;2;29;236;13;4;37.200;8.692;793;7.308;9.153;32;7.683;2.684;6;849;392;710;8.472;124;1.095;6.778;405;70;25;488
2010;5;39.964;14;9.121;6.189;1.468;728;3.844;4.569;2.632;5.704;3.418;2.044;233;118;1;29;72;14;2;40.391;9.019;1.036;7.414;9.882;49;8.921;3.132;10;928;455;707;8.696;123;1.107;6.955;452;59;33;555
2010;6;40.095;14;8.998;5.864;1.298;647;3.988;4.969;2.410;5.885;3.711;2.072;239;113;3;30;56;16;8;39.517;8.747;1.267;7.469;9.684;40;8.453;3.101;10;746;499;766;8.585;97;1.139;6.803;493;53;22;659
2010;7;41.381;12;9.383;4.991;1.199;733;4.253;5.401;2.674;6.439;3.950;2.149;197;96;2;28;39;20;7;37.450;7.902;924;6.751;9.656;23;8.141;3.208;4;841;505;594;7.855;110;989;6.364;360;32;34;776
2010;8;41.993;26;9.617;5.825;1.290;720;4.366;5.059;2.469;6.222;4.113;2.070;216;153;8;45;68;20;12;41.500;9.261;1.081;8.153;9.949;53;8.861;3.278;6;858;503;743;8.628;129;1.190;6.771;482;56;39;786
2010;9;39.860;23;9.062;6.220;1.424;579;4.100;4.637;2.301;5.635;3.542;2.102;235;112;3;31;60;9;9;42.343;9.181;1.021;7.683;9.616;69;10.796;3.110;7;860;505;682;8.598;134;1.146;6.838;429;51;37;658
2010;10;41.854;24;9.638;6.665;1.415;606;4.227;4.910;2.637;5.592;3.671;2.240;229;120;3;26;74;12;5;46.145;10.137;1.529;9.959;9.846;37;10.327;3.031;7;1.272;423;800;9.306;148;1.255;7.335;493;75;38;664
2010;11;40.204;21;9.257;6.896;1.448;594;4.082;4.712;2.446;4.862;3.357;2.296;233;108;5;26;58;11;8;46.645;10.578;1.405;10.689;9.983;56;9.536;3.339;9;1.050;451;857;9.984;131;1.294;7.869;527;163;26;656
2010;12;40.337;13;9.738;6.320;1.362;625;4.164;4.718;2.496;4.994;3.396;2.314;197;113;5;27;50;18;13;45.815;10.427;1.449;9.264;10.402;47;9.641;3.485;7;1.093;575;680;10.065;135;1.400;7.897;457;176;24;664
